		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW			Rain	Heat	Cool	In 	In	In 	In 	In 	In Air	Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Bar  	Rain	Rate	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	Samp	Tx 	Recept	Int.
28/11/10	13:30	13.6	13.6	12.9	34	-2.0	1.6	SW	0.27	4.8	WSW	13.6	11.9	11.9	1000.0	0.00	0.0	0.033	0.000	16.2	56	7.4	15.4	10.45	 .0744	222	1	97.4	10
28/11/10	13:40	13.9	13.9	13.6	32	-2.6	1.6	SW	0.27	4.8	SSE	13.9	12.2	12.2	1000.1	0.00	0.0	0.031	0.000	16.2	56	7.4	15.3	10.45	 .0744	234	1	100.0	10
28/11/10	13:50	13.2	13.9	13.2	32	-3.2	3.2	SW	0.54	9.7	WSW	13.2	11.6	11.6	1000.0	0.00	0.0	0.036	0.000	15.9	56	7.2	15.1	10.45	 .0745	234	1	100.0	10
28/11/10	14:00	12.2	13.2	12.2	34	-3.2	4.8	SW	0.80	9.7	WSW	12.2	10.8	10.8	1000.1	0.00	0.0	0.042	0.000	15.7	56	6.9	14.8	10.45	 .0746	234	1	100.0	10
28/11/10	14:10	11.6	12.2	11.6	34	-3.8	4.8	SW	0.80	14.5	SW	11.6	10.3	10.3	1000.4	0.00	0.0	0.047	0.000	15.4	56	6.7	14.6	10.45	 .0747	234	1	100.0	10
28/11/10	14:20	11.1	11.6	11.1	38	-2.7	3.2	SW	0.54	8.0	SW	11.1	10.0	10.0	1000.6	0.00	0.0	0.050	0.000	15.2	56	6.4	14.3	10.45	 .0748	234	1	100.0	10
28/11/10	14:30	10.4	11.1	10.4	40	-2.6	3.2	SW	0.54	11.3	SW	10.4	9.5	9.5	1000.7	0.00	0.0	0.055	0.000	14.9	56	6.2	14.1	10.45	 .0749	234	1	100.0	10
28/11/10	14:40	10.1	10.4	10.1	41	-2.6	4.8	SW	0.80	11.3	WSW	9.9	9.2	9.1	1000.7	0.00	0.0	0.057	0.000	14.7	56	6.0	13.8	10.45	 .0749	234	1	100.0	10
28/11/10	14:50	10.0	10.1	10.0	42	-2.3	1.6	SW	0.27	8.0	WSW	10.0	9.2	9.2	1001.0	0.00	0.0	0.058	0.000	14.6	57	6.1	13.7	10.59	 .0750	234	1	100.0	10
28/11/10	15:00	10.2	10.2	10.0	44	-1.6	1.6	SW	0.27	3.2	SSW	10.2	9.4	9.4	1001.0	0.00	0.0	0.057	0.000	14.4	57	6.0	13.6	10.59	 .0750	234	1	100.0	10
28/11/10	15:10	10.6	10.6	10.2	42	-1.8	0.0	SW	0.00	3.2	SW	10.6	9.7	9.7	1001.1	0.00	0.0	0.054	0.000	14.4	58	6.3	13.7	10.75	 .0750	234	1	100.0	10
28/11/10	15:20	11.1	11.1	10.6	41	-1.7	1.6	ESE	0.27	6.4	SSW	11.1	10.1	10.1	1001.1	0.00	0.0	0.050	0.000	14.5	58	6.3	13.7	10.75	 .0750	235	1	100.0	10
28/11/10	15:30	11.3	11.3	11.1	41	-1.5	1.6	SE	0.27	14.5	E	11.3	10.2	10.2	1001.2	0.00	0.0	0.049	0.000	14.6	58	6.4	13.8	10.75	 .0750	233	1	100.0	10
28/11/10	15:40	11.0	11.3	11.0	41	-1.8	1.6	WSW	0.27	6.4	SW	11.0	10.0	10.0	1001.3	0.00	0.0	0.051	0.000	14.6	59	6.7	13.8	10.95	 .0750	234	1	100.0	10
28/11/10	15:50	10.6	11.0	10.6	42	-1.8	1.6	SW	0.27	6.4	SW	10.6	9.7	9.7	1001.5	0.00	0.0	0.054	0.000	14.6	59	6.6	13.8	10.95	 .0750	234	1	100.0	10
28/11/10	16:00	10.2	10.6	10.2	44	-1.5	1.6	SSW	0.27	6.4	SSW	10.2	9.4	9.4	1001.7	0.00	0.0	0.056	0.000	14.5	59	6.6	13.7	10.95	 .0750	231	1	100.0	10
28/11/10	16:10	9.9	10.2	9.9	45	-1.5	1.6	SW	0.27	6.4	S	9.9	9.2	9.2	1001.7	0.00	0.0	0.058	0.000	14.5	59	6.6	13.7	10.95	 .0750	234	1	100.0	10
28/11/10	16:20	9.6	9.9	9.6	47	-1.2	1.6	ESE	0.27	6.4	SE	9.6	8.8	8.8	1002.0	0.00	0.0	0.061	0.000	14.4	60	6.7	13.7	11.11	 .0751	234	1	100.0	10
28/11/10	16:30	9.3	9.6	9.3	49	-0.9	1.6	SE	0.27	8.0	SE	9.3	8.7	8.7	1002.1	0.00	0.0	0.063	0.000	14.2	60	6.6	13.5	11.10	 .0751	235	1	100.0	10
28/11/10	16:40	9.0	9.3	9.0	50	-0.9	0.0	SSW	0.00	3.2	SSW	9.0	8.3	8.3	1002.3	0.00	0.0	0.065	0.000	14.1	60	6.4	13.3	11.10	 .0752	234	1	100.0	10
28/11/10	16:50	8.7	9.0	8.7	51	-0.9	0.0	NNW	0.00	1.6	ESE	8.7	8.0	8.0	1002.4	0.00	0.0	0.067	0.000	13.9	61	6.5	13.2	11.25	 .0753	234	1	100.0	10
28/11/10	17:00	8.3	8.7	8.3	53	-0.8	0.0	---	0.00	0.0	---	8.3	7.7	7.7	1002.6	0.00	0.0	0.070	0.000	13.8	61	6.4	13.1	11.25	 .0753	234	1	100.0	10
28/11/10	17:10	7.9	8.3	7.9	54	-0.9	0.0	NNE	0.00	3.2	WNW	7.9	7.3	7.3	1002.6	0.00	0.0	0.073	0.000	13.7	61	6.3	13.0	11.25	 .0753	234	1	100.0	10
28/11/10	17:20	7.4	7.9	7.4	57	-0.5	0.0	NW	0.00	3.2	NNW	7.4	6.9	6.9	1002.8	0.00	0.0	0.076	0.000	13.6	62	6.4	12.9	11.52	 .0754	234	1	100.0	10
28/11/10	17:30	7.0	7.4	7.0	59	-0.5	0.0	WNW	0.00	1.6	NW	7.0	6.6	6.6	1002.9	0.00	0.0	0.079	0.000	13.4	63	6.5	12.8	11.73	 .0754	234	1	100.0	10
28/11/10	17:40	6.8	7.0	6.8	61	-0.2	0.0	NW	0.00	4.8	N	6.8	6.3	6.3	1003.1	0.00	0.0	0.080	0.000	13.3	63	6.4	12.7	11.73	 .0755	235	1	100.0	10
28/11/10	17:50	6.3	6.8	6.3	63	-0.3	0.0	---	0.00	0.0	---	6.3	5.9	5.9	1003.1	0.00	0.0	0.084	0.000	13.3	63	6.4	12.7	11.73	 .0755	234	1	100.0	10
28/11/10	18:00	6.4	6.4	6.2	62	-0.4	0.0	NW	0.00	3.2	NW	6.4	5.9	5.9	1003.1	0.00	0.0	0.083	0.000	13.2	63	6.3	12.6	11.74	 .0755	234	1	100.0	10
28/11/10	18:10	6.2	6.4	6.2	64	-0.1	0.0	W	0.00	1.6	WNW	6.2	5.8	5.8	1003.5	0.00	0.0	0.084	0.000	13.1	63	6.2	12.5	11.74	 .0756	234	1	100.0	10
28/11/10	18:20	5.9	6.2	5.9	65	-0.1	0.0	W	0.00	1.6	W	5.9	5.6	5.6	1003.7	0.00	0.0	0.086	0.000	13.1	64	6.4	12.5	12.03	 .0756	234	1	100.0	10
28/11/10	18:30	5.7	6.0	5.7	67	0.1	0.0	WSW	0.00	4.8	SE	5.7	5.3	5.3	1004.1	0.00	0.0	0.088	0.000	13.0	64	6.3	12.4	12.03	 .0756	234	1	100.0	10
28/11/10	18:40	5.4	5.7	5.4	68	-0.0	0.0	WSW	0.00	3.2	WSW	5.4	5.1	5.1	1004.4	0.00	0.0	0.090	0.000	13.0	64	6.3	12.4	12.03	 .0756	235	1	100.0	10
28/11/10	18:50	5.3	5.4	5.2	68	-0.2	0.0	W	0.00	1.6	W	5.3	4.9	4.9	1004.4	0.00	0.0	0.091	0.000	12.9	64	6.3	12.3	12.04	 .0757	234	1	100.0	10
28/11/10	19:00	5.1	5.3	5.1	69	-0.1	0.0	WSW	0.00	3.2	WSW	5.1	4.8	4.8	1004.5	0.00	0.0	0.092	0.000	12.9	64	6.2	12.3	12.04	 .0757	234	1	100.0	10
28/11/10	19:10	4.9	5.1	4.9	69	-0.3	0.0	---	0.00	0.0	---	4.9	4.6	4.6	1004.6	0.00	0.0	0.093	0.000	12.9	65	6.5	12.3	12.24	 .0757	234	1	100.0	10
28/11/10	19:20	4.8	4.9	4.8	70	-0.2	0.0	---	0.00	0.0	---	4.8	4.5	4.5	1004.7	0.00	0.0	0.094	0.000	12.9	65	6.5	12.3	12.24	 .0757	234	1	100.0	10
28/11/10	19:30	5.1	5.1	4.8	68	-0.3	0.0	WSW	0.00	1.6	WSW	5.1	4.8	4.8	1004.8	0.00	0.0	0.092	0.000	12.8	65	6.4	12.3	12.25	 .0757	234	1	100.0	10
28/11/10	19:40	5.3	5.4	5.1	68	-0.2	0.0	WSW	0.00	1.6	WSW	5.3	4.9	4.9	1004.9	0.00	0.0	0.091	0.000	12.8	65	6.4	12.2	12.25	 .0757	234	1	100.0	10
28/11/10	19:50	5.1	5.3	5.1	68	-0.4	0.0	---	0.00	0.0	---	5.1	4.7	4.7	1004.9	0.00	0.0	0.092	0.000	12.8	65	6.4	12.2	12.25	 .0757	234	1	100.0	10
28/11/10	20:00	5.5	5.5	5.1	67	-0.1	0.0	NW	0.00	4.8	NW	5.5	5.1	5.1	1005.1	0.00	0.0	0.089	0.000	12.8	65	6.4	12.2	12.25	 .0758	234	1	100.0	10
28/11/10	20:10	5.9	5.9	5.5	64	-0.4	0.0	N	0.00	1.6	NW	5.9	5.5	5.5	1005.1	0.00	0.0	0.086	0.000	12.7	66	6.5	12.2	12.45	 .0758	234	1	100.0	10
28/11/10	20:20	5.7	5.9	5.7	65	-0.4	0.0	N	0.00	1.6	N	5.7	5.3	5.3	1005.3	0.00	0.0	0.088	0.000	12.7	66	6.5	12.2	12.45	 .0758	234	1	100.0	10
28/11/10	20:30	5.6	5.8	5.6	65	-0.5	0.0	---	0.00	0.0	---	5.6	5.2	5.2	1005.4	0.00	0.0	0.089	0.000	12.7	66	6.5	12.1	12.45	 .0758	234	1	100.0	10
28/11/10	20:40	5.2	5.6	5.2	66	-0.7	0.0	W	0.00	1.6	WSW	5.2	4.8	4.8	1005.4	0.00	0.0	0.091	0.000	12.7	66	6.5	12.1	12.45	 .0758	234	1	100.0	10
28/11/10	20:50	5.1	5.2	5.1	67	-0.6	0.0	W	0.00	1.6	W	5.1	4.7	4.7	1005.6	0.00	0.0	0.092	0.000	12.7	66	6.5	12.1	12.45	 .0758	234	1	100.0	10
28/11/10	21:00	5.1	5.2	5.1	68	-0.3	0.0	WSW	0.00	1.6	WSW	5.1	4.8	4.8	1005.8	0.00	0.0	0.092	0.000	12.7	66	6.5	12.1	12.45	 .0758	235	1	100.0	10
28/11/10	21:10	4.9	5.1	4.8	67	-0.7	0.0	WSW	0.00	4.8	WSW	4.9	4.5	4.5	1005.8	0.00	0.0	0.093	0.000	12.7	66	6.5	12.1	12.45	 .0758	234	1	100.0	10
28/11/10	21:20	5.2	5.2	4.9	65	-0.8	1.6	WSW	0.27	4.8	WSW	5.2	4.8	4.8	1005.9	0.00	0.0	0.091	0.000	12.6	67	6.6	12.1	12.74	 .0758	234	1	100.0	10
28/11/10	21:30	5.3	5.3	5.2	64	-0.9	1.6	WSW	0.27	6.4	SW	5.3	4.9	4.9	1006.0	0.00	0.0	0.090	0.000	12.6	67	6.6	12.1	12.74	 .0759	234	1	100.0	10
28/11/10	21:40	5.3	5.3	5.3	64	-1.0	0.0	WSW	0.00	3.2	SW	5.3	4.9	4.9	1006.2	0.00	0.0	0.091	0.000	12.6	67	6.6	12.1	12.74	 .0759	234	1	100.0	10
28/11/10	21:50	5.1	5.3	5.1	65	-0.9	1.6	WSW	0.27	6.4	WSW	5.1	4.7	4.7	1006.2	0.00	0.0	0.092	0.000	12.6	67	6.6	12.1	12.73	 .0759	234	1	100.0	10
28/11/10	22:00	4.9	5.1	4.9	65	-1.1	0.0	WSW	0.00	3.2	W	4.9	4.6	4.6	1006.5	0.00	0.0	0.093	0.000	12.6	67	6.6	12.1	12.73	 .0759	234	1	100.0	10
28/11/10	22:10	4.6	4.9	4.6	67	-1.0	0.0	NW	0.00	3.2	N	4.6	4.2	4.2	1006.6	0.00	0.0	0.095	0.000	12.6	67	6.6	12.1	12.73	 .0759	235	1	100.0	10
28/11/10	22:20	4.3	4.7	4.2	69	-0.9	0.0	ESE	0.00	1.6	ESE	4.3	3.9	3.9	1006.7	0.00	0.0	0.098	0.000	12.5	67	6.5	12.0	12.73	 .0759	234	1	100.0	10
28/11/10	22:30	4.2	4.3	4.2	69	-1.0	0.0	WSW	0.00	3.2	WSW	4.2	3.9	3.9	1006.9	0.00	0.0	0.098	0.000	12.5	68	6.8	12.1	12.93	 .0760	234	1	100.0	10
28/11/10	22:40	4.2	4.2	4.2	69	-1.0	0.0	---	0.00	0.0	---	4.2	3.8	3.8	1007.0	0.00	0.0	0.098	0.000	12.5	68	6.8	12.1	12.93	 .0760	234	1	100.0	10
28/11/10	22:50	4.4	4.4	4.2	68	-1.0	0.0	WSW	0.00	1.6	WSW	4.4	4.1	4.1	1007.1	0.00	0.0	0.096	0.000	12.5	69	7.0	12.1	13.23	 .0760	234	1	100.0	10
28/11/10	23:00	4.1	4.4	4.1	70	-0.9	0.0	WSW	0.00	1.6	WSW	4.1	3.7	3.7	1007.2	0.00	0.0	0.099	0.000	12.5	69	7.0	12.1	13.23	 .0760	234	1	100.0	10
28/11/10	23:10	3.9	4.1	3.9	71	-0.8	0.0	WSW	0.00	1.6	WSW	3.9	3.6	3.6	1007.3	0.00	0.0	0.100	0.000	12.5	69	7.0	12.1	13.23	 .0760	234	1	100.0	10
