		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW			Rain	Heat	Cool	In 	In	In 	In 	In 	In Air	Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Bar  	Rain	Rate	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	Samp	Tx 	Recept	Int.
01/01/12	0:10	48.5	48.7	48.5	82	43.3	0.0	ENE	0.00	2.0	ENE	48.5	48.5	48.5	30.223	0.00	0.00	0.115	0.000	58.1	65	46.4	57.1	12.13	 .0766	234	1	100.0	10
01/01/12	0:20	48.2	48.5	48.2	82	43.0	0.0	ENE	0.00	2.0	N	48.2	48.1	48.1	30.222	0.00	0.00	0.117	0.000	58.1	65	46.4	57.1	12.13	 .0766	234	1	100.0	10
01/01/12	0:30	47.6	48.2	47.6	83	42.7	0.0	---	0.00	0.0	---	47.6	47.5	47.5	30.221	0.00	0.00	0.121	0.000	58.2	65	46.5	57.2	12.12	 .0766	235	1	100.0	10
01/01/12	0:40	47.4	47.6	47.4	84	42.8	0.0	W	0.00	1.0	W	47.4	47.4	47.4	30.219	0.00	0.00	0.122	0.000	58.2	65	46.5	57.2	12.12	 .0766	234	1	100.0	10
01/01/12	0:50	48.3	48.3	47.3	85	44.0	1.0	E	0.17	3.0	NE	48.3	48.3	48.3	30.217	0.00	0.00	0.116	0.000	58.2	65	46.5	57.2	12.12	 .0766	234	1	100.0	10
01/01/12	1:00	48.5	48.7	48.3	82	43.3	0.0	ENE	0.00	2.0	ENE	48.5	48.5	48.5	30.220	0.00	0.00	0.115	0.000	58.2	65	46.5	57.2	12.12	 .0766	234	1	100.0	10
01/01/12	1:10	47.5	48.5	47.5	84	42.9	0.0	SW	0.00	1.0	SW	47.5	47.5	47.5	30.221	0.00	0.00	0.122	0.000	58.2	66	46.9	57.2	12.39	 .0766	234	1	100.0	10
01/01/12	1:20	47.3	47.6	47.3	85	43.0	0.0	---	0.00	0.0	---	47.3	47.3	47.3	30.222	0.00	0.00	0.123	0.000	58.2	66	46.9	57.2	12.39	 .0766	234	1	100.0	10
01/01/12	1:30	47.0	47.3	47.0	86	43.0	0.0	WSW	0.00	1.0	SW	47.0	47.0	47.0	30.219	0.00	0.00	0.125	0.000	58.2	66	46.9	57.2	12.39	 .0766	233	1	100.0	10
01/01/12	1:40	46.7	47.0	46.7	86	42.7	0.0	W	0.00	1.0	WSW	46.7	46.7	46.7	30.222	0.00	0.00	0.127	0.000	58.2	66	46.9	57.2	12.39	 .0766	235	1	100.0	10
01/01/12	1:50	46.5	46.7	46.5	87	42.8	0.0	W	0.00	1.0	W	46.5	46.6	46.6	30.223	0.00	0.00	0.128	0.000	58.2	66	46.9	57.2	12.39	 .0766	234	1	100.0	10
01/01/12	2:00	47.3	47.3	46.5	87	43.6	0.0	NE	0.00	2.0	NE	47.3	47.4	47.4	30.225	0.00	0.00	0.123	0.000	58.2	66	46.9	57.2	12.39	 .0766	234	1	100.0	10
